[2026-03-04 16:00:19] CPU: 0.00% | MEM: 11.82%
[2026-03-04 16:00:21] CPU: 0.00% | MEM: 11.82%
[2026-03-04 16:00:23] CPU: 0.00% | MEM: 11.82%
[2026-03-04 16:00:25] CPU: 0.00% | MEM: 11.74%
[2026-03-04 16:00:27] CPU: 0.12% | MEM: 11.78%
[2026-03-04 16:00:29] CPU: 0.06% | MEM: 11.78%
[2026-03-04 16:00:31] CPU: 0.00% | MEM: 11.78%
[2026-03-04 16:00:34] CPU: 0.06% | MEM: 11.78%
[2026-03-04 16:00:36] CPU: 0.00% | MEM: 11.78%
[2026-03-04 16:00:38] CPU: 0.00% | MEM: 11.78%
[2026-03-04 16:00:40] CPU: 0.00% | MEM: 11.78%
[2026-03-04 16:00:40] CPU: 0.00% | MEM: 11.78%
[2026-03-04 16:00:42] CPU: 0.06% | MEM: 11.78%
[2026-03-04 16:00:45] CPU: 0.00% | MEM: 11.78%
[2026-03-04 16:00:46] CPU: 0.00% | MEM: 11.78%
